"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,0,NA,NA,NA,NA
2020-03-14,1,NA,NA,NA,NA
2020-03-15,0,NA,NA,NA,NA
2020-03-16,0,NA,NA,NA,NA
2020-03-17,0,NA,NA,NA,NA
2020-03-18,0,NA,NA,NA,NA
2020-03-19,0,NA,NA,NA,NA
2020-03-20,0,NA,NA,NA,NA
2020-03-21,0,NA,NA,NA,NA
2020-03-22,3,NA,NA,NA,NA
2020-03-23,0,NA,NA,NA,NA
2020-03-24,0,NA,NA,NA,NA
2020-03-25,0,NA,NA,NA,NA
2020-03-26,2,NA,NA,NA,NA
2020-03-27,3,NA,NA,NA,NA
2020-03-28,0,NA,NA,NA,NA
2020-03-29,0,NA,NA,NA,NA
2020-03-30,0,NA,NA,NA,NA
2020-03-31,0,NA,NA,NA,NA
2020-04-01,0,NA,NA,NA,NA
2020-04-02,0,NA,NA,NA,NA
2020-04-03,0,NA,NA,NA,NA
2020-04-04,0,NA,NA,NA,NA
2020-04-05,0,NA,NA,NA,NA
2020-04-06,1,NA,NA,NA,NA
2020-04-07,0,NA,NA,NA,NA
2020-04-08,2,NA,NA,NA,NA
2020-04-09,0,NA,NA,NA,NA
2020-04-10,0,NA,NA,NA,NA
2020-04-11,0,NA,NA,NA,NA
2020-04-12,2,NA,NA,NA,NA
2020-04-13,1,NA,NA,NA,NA
2020-04-14,0,NA,NA,NA,NA
2020-04-15,0,NA,NA,NA,NA
2020-04-16,1,NA,NA,NA,NA
2020-04-17,0,NA,NA,NA,NA
2020-04-18,6,NA,NA,NA,NA
2020-04-19,0,NA,NA,NA,NA
2020-04-20,2,NA,NA,NA,NA
2020-04-21,7,NA,NA,NA,NA
2020-04-22,0,3.52941176470588,0.789200462646985,1.98260728133544,5.07621624807632
2020-04-23,0,1.45161290322581,0.483870967741936,0.503243233287071,2.39998257316454
2020-04-24,5,0.798816568047337,0.326115498299536,0.159641936579914,1.43799119951476
2020-04-25,20,NA,NA,NA,NA
2020-04-26,3,NA,NA,NA,NA
2020-04-27,6,NA,NA,NA,NA
2020-04-28,6,NA,NA,NA,NA
2020-04-29,20,NA,NA,NA,NA
2020-04-30,9,4.67937608318891,0.854333278604245,3.00491362633056,6.35383854004725
2020-05-01,6,1.09979633401222,0.448989973218912,0.219792157083548,1.97980051094089
2020-05-02,2,NA,NA,NA,NA
2020-05-03,4,1.29807692307692,0.432692307692308,0.450015583612477,2.14613826254137
2020-05-04,4,NA,NA,NA,NA
2020-05-05,3,1.0292249047014,0.343074968233799,0.356810322965928,1.70163948643687
2020-05-06,4,NA,NA,NA,NA
2020-05-07,30,NA,NA,NA,NA
2020-05-08,6,NA,NA,NA,NA
2020-05-09,4,1.69014084507042,0.487901635934895,0.733871210639855,2.64641047950099
2020-05-10,9,NA,NA,NA,NA
2020-05-11,3,NA,NA,NA,NA
2020-05-12,9,NA,NA,NA,NA
2020-05-13,3,NA,NA,NA,NA
2020-05-14,0,NA,NA,NA,NA
2020-05-15,3,NA,NA,NA,NA
2020-05-16,12,NA,NA,NA,NA
2020-05-17,1,NA,NA,NA,NA
2020-05-18,2,1.18942731277533,0.485581667071555,0.237704733762164,2.1411498917885
2020-05-19,3,0.831792975970425,0.371989127495344,0.102707683439073,1.56087826850178
2020-05-20,9,1.60975609756098,0.485359725417863,0.658468516195714,2.56104367892624
2020-05-21,3,0.931952662721894,0.352244997035227,0.241565154798431,1.62234017064536
2020-05-22,5,NA,NA,NA,NA
2020-05-23,13,NA,NA,NA,NA
2020-05-24,12,NA,NA,NA,NA
2020-05-25,6,1.12852664576802,0.39899442198614,0.346511948642815,1.91054134289323
2020-05-26,5,NA,NA,NA,NA
2020-05-27,11,NA,NA,NA,NA
2020-05-28,7,NA,NA,NA,NA
2020-05-29,0,NA,NA,NA,NA
2020-05-30,4,NA,NA,NA,NA
2020-05-31,2,NA,NA,NA,NA
2020-06-01,8,NA,NA,NA,NA
2020-06-02,1,5.60240963855422,1.00622247521024,3.63024982670739,7.57456945040104
2020-06-03,1,3.888,0.748245948869755,2.42146488863728,5.35453511136272
2020-06-04,5,5.6043956043956,0.784772354784929,4.06627005295446,7.14252115583675
2020-06-05,5,1.90959409594096,0.398177894001979,1.12917976425707,2.69000842762484
2020-06-06,17,0.817120622568093,0.218384672379802,0.389094529928102,1.24514671520808
2020-06-07,11,NA,NA,NA,NA
2020-06-08,7,0.644295302013423,0.161073825503356,0.328596405174756,0.959994198852089
2020-06-09,31,0.565783565334531,0.151212018324946,0.269413455388026,0.862153675281035
2020-06-10,27,1.8271954674221,0.278644696500085,1.28106189779884,2.37332903704536
2020-06-11,51,1.08547456738332,0.226337093391791,0.641862015969936,1.52908711879671
2020-06-12,23,1.79514824797844,0.295120554030641,1.21672259098087,2.373573904976
2020-06-13,14,NA,NA,NA,NA
