"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,1,NA,NA,NA,NA
2020-03-14,0,NA,NA,NA,NA
2020-03-15,0,NA,NA,NA,NA
2020-03-16,0,NA,NA,NA,NA
2020-03-17,0,NA,NA,NA,NA
2020-03-18,0,NA,NA,NA,NA
2020-03-19,0,NA,NA,NA,NA
2020-03-20,0,NA,NA,NA,NA
2020-03-21,1,NA,NA,NA,NA
2020-03-22,0,NA,NA,NA,NA
2020-03-23,2,NA,NA,NA,NA
2020-03-24,0,NA,NA,NA,NA
2020-03-25,0,NA,NA,NA,NA
2020-03-26,0,NA,NA,NA,NA
2020-03-27,4,NA,NA,NA,NA
2020-03-28,0,NA,NA,NA,NA
2020-03-29,8,1.37404580152672,0.434511434221609,0.522419039581519,2.22567256347192
2020-03-30,6,0.62624254473161,0.23669743339544,0.162324100043479,1.09016098941974
2020-03-31,0,1.11025443330763,0.277563608326908,0.566239757567911,1.65426910904735
2020-04-01,8,1.19521912350598,0.267259120816708,0.67140087216539,1.71903737484656
2020-04-02,22,1.75438596491228,0.320305589184308,1.12659854606416,2.38217338376041
2020-04-03,21,1.02337334175616,0.241211409880439,0.550607665730369,1.49613901778195
2020-04-04,38,2.07776427703524,0.337057873795388,1.41714298369063,2.73838557037984
2020-04-05,10,NA,NA,NA,NA
2020-04-06,7,3.4027397260274,0.409641724746645,2.5998566989591,4.20562275309569
2020-04-07,16,2.16511755057408,0.326403751921253,1.52537795238968,2.80485714875849
2020-04-08,20,1.76470588235294,0.275600756274011,1.22453832594388,2.304873438762
2020-04-09,30,1.27129206481097,0.21802479041798,0.843971327854835,1.6986128017671
2020-04-10,18,1.20867768595041,0.193543326396645,0.82933973676491,1.58801563513592
2020-04-11,38,1.17778487073093,0.183939093957535,0.817270871225232,1.53829887023663
2020-04-12,0,1.6218611521418,0.207658041604608,1.21485886949665,2.02886343478695
2020-04-13,69,1.10888252148997,0.169102999194034,0.777446733391958,1.44031830958798
2020-04-14,44,1.61062906724512,0.198254733301854,1.22205693020889,1.99920120428135
2020-04-15,41,1.71227521501173,0.200406655480474,1.31948538800787,2.10506504201558
2020-04-16,34,2.20470531166626,0.219376377856144,1.77473551200937,2.63467511132315
2020-04-17,39,1.90257352941176,0.198357002342897,1.51380094873836,2.29134611008517
2020-04-18,41,0.762865792129163,0.117712747297015,0.532153046905749,0.993578537352576
2020-04-19,61,NA,NA,NA,NA
2020-04-20,43,2.44072750893147,0.188869165069634,2.07055074760484,2.81090427025811
2020-04-21,66,1.14017769002962,0.129935306822193,0.885509168337955,1.39484621172128
2020-04-22,73,1.59304736086749,0.151205364017979,1.29669029312298,1.88940442861199
2020-04-23,101,2.00650255457501,0.167208546214584,1.67877982608712,2.3342252830629
2020-04-24,92,0.531720354480236,0.0820462319393315,0.370912694811927,0.692528014148546
2020-04-25,42,0.576696743821106,0.0823852491173009,0.415224622693836,0.738168864948376
2020-04-26,0,NA,NA,NA,NA
2020-04-27,167,1.36480371774489,0.122562991966418,1.12458466765324,1.60502276783655
2020-04-28,77,1.21232328620966,0.12063067563362,0.975891506537028,1.44875506588228
2020-04-29,111,0.564696040156163,0.0841799154942754,0.399706437565758,0.729685642746568
2020-04-30,144,0.939705882352941,0.111522570527334,0.721125660656038,1.15828610404984
2020-05-01,42,1.13068791175119,0.124863591609065,0.885959769217102,1.37541605428527
2020-05-02,49,0.468232697461769,0.0815088504159582,0.308478286225228,0.627987108698309
2020-05-03,0,1.48689436060365,0.145801987680175,1.20112771587616,1.77266100533115
2020-05-04,124,NA,NA,NA,NA
2020-05-05,101,2.17315329626688,0.176266008027707,1.82767826883393,2.51862832369983
2020-05-06,45,1.13564668769716,0.130267609137858,0.880326865434818,1.3909665099595
2020-05-07,71,1.4187898089172,0.142593740986618,1.13931121216259,1.6982684056718
2020-05-08,82,NA,NA,NA,NA
2020-05-09,33,2.45213549337261,0.180284587008275,2.09878419586871,2.8054867908765
2020-05-10,104,NA,NA,NA,NA
2020-05-11,0,1.72260748959778,0.146638087545404,1.43520211924696,2.0100128599486
2020-05-12,152,0.858729706636286,0.104910531112008,0.653108844057782,1.06435056921479
2020-05-13,76,NA,NA,NA,NA
2020-05-14,99,2.52405828979929,0.176719427706587,2.17769457612585,2.87042200347273
2020-05-15,0,NA,NA,NA,NA
2020-05-16,185,1.37452711223203,0.131655819784496,1.11648644709932,1.63256777736474
2020-05-17,0,1.25900805426028,0.12653507042475,1.01100387344653,1.50701223507403
2020-05-18,138,NA,NA,NA,NA
2020-05-19,67,NA,NA,NA,NA
2020-05-20,0,NA,NA,NA,NA
2020-05-21,204,3.91917293233083,0.235056372187966,3.45847090850577,4.37987495615588
2020-05-22,0,1.79755671902269,0.1771185264414,1.45041078620274,2.14470265184264
2020-05-23,109,0.832254484926947,0.117698557992952,0.601569550228461,1.06293941962543
