"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,1,NA,NA,NA,NA
2020-03-12,1,NA,NA,NA,NA
2020-03-13,6,NA,NA,NA,NA
2020-03-14,0,NA,NA,NA,NA
2020-03-15,2,NA,NA,NA,NA
2020-03-16,0,NA,NA,NA,NA
2020-03-17,2,NA,NA,NA,NA
2020-03-18,1,NA,NA,NA,NA
2020-03-19,2,NA,NA,NA,NA
2020-03-20,1,NA,NA,NA,NA
2020-03-21,0,NA,NA,NA,NA
2020-03-22,3,NA,NA,NA,NA
2020-03-23,0,NA,NA,NA,NA
2020-03-24,2,NA,NA,NA,NA
2020-03-25,5,NA,NA,NA,NA
2020-03-26,0,NA,NA,NA,NA
2020-03-27,0,NA,NA,NA,NA
2020-03-28,4,NA,NA,NA,NA
2020-03-29,2,NA,NA,NA,NA
2020-03-30,4,NA,NA,NA,NA
2020-03-31,0,NA,NA,NA,NA
2020-04-01,8,NA,NA,NA,NA
2020-04-02,3,NA,NA,NA,NA
2020-04-03,0,NA,NA,NA,NA
2020-04-04,6,NA,NA,NA,NA
2020-04-05,5,NA,NA,NA,NA
2020-04-06,0,NA,NA,NA,NA
2020-04-07,5,NA,NA,NA,NA
2020-04-08,0,NA,NA,NA,NA
2020-04-09,0,NA,NA,NA,NA
2020-04-10,0,NA,NA,NA,NA
2020-04-11,2,2.38726790450928,0.533809331498624,1.34102084016058,3.43351496885799
2020-04-12,4,0.828729281767956,0.262067209406219,0.31508698980285,1.34237157373306
2020-04-13,4,3.6115569823435,0.510751286571343,2.61050285560617,4.61261110908083
2020-04-14,0,NA,NA,NA,NA
2020-04-15,52,0.569620253164557,0.180129740136174,0.216572449953098,0.922668056376016
2020-04-16,18,1.31227217496962,0.267866436027322,0.78726360768897,1.83728074225028
2020-04-17,0,1.61832946635731,0.290660552583934,1.04864525156629,2.18801368114833
2020-04-18,20,0.942118226600985,0.228497232946792,0.494271879458215,1.38996457374376
2020-04-19,10,2.45603395997574,0.366123925970251,1.73844425119564,3.17362366875584
2020-04-20,50,0.73469387755102,0.19635519813974,0.349844761019903,1.11954299408214
2020-04-21,0,NA,NA,NA,NA
2020-04-22,10,1.40487804878049,0.248349698758202,0.91812158364304,1.89163451391794
2020-04-23,24,1.13427047988366,0.222448742716118,0.698278955753857,1.57026200401347
2020-04-24,31,0.462012320328542,0.146101123929751,0.175659379325408,0.748365261331676
2020-04-25,17,1.40060240963855,0.251555618802561,0.907562456676848,1.89364236260026
2020-04-26,45,0.276781137878011,0.112995426371341,0.0553141717724358,0.498248103983587
2020-04-27,14,NA,NA,NA,NA
2020-04-28,0,NA,NA,NA,NA
2020-04-29,32,0.268176400476758,0.119932132285448,0.0331137406081874,0.503239060345329
2020-04-30,26,0.65359477124183,0.20668481439009,0.248499978885908,1.05868956359775
2020-05-01,10,NA,NA,NA,NA
2020-05-02,31,NA,NA,NA,NA
2020-05-03,6,1.47138964577657,0.424753604035965,0.63888787956249,2.30389141199064
2020-05-04,2,NA,NA,NA,NA
2020-05-05,2,NA,NA,NA,NA
2020-05-06,5,NA,NA,NA,NA
2020-05-07,10,NA,NA,NA,NA
2020-05-08,2,NA,NA,NA,NA
2020-05-09,0,NA,NA,NA,NA
2020-05-10,12,NA,NA,NA,NA
2020-05-11,3,NA,NA,NA,NA
2020-05-12,2,NA,NA,NA,NA
2020-05-13,2,NA,NA,NA,NA
2020-05-14,0,NA,NA,NA,NA
2020-05-15,2,NA,NA,NA,NA
2020-05-16,6,NA,NA,NA,NA
2020-05-17,3,NA,NA,NA,NA
2020-05-18,0,NA,NA,NA,NA
2020-05-19,0,1.5450643776824,0.5462627494145,0.474409062734155,2.61571969263065
2020-05-20,9,0.953389830508475,0.42636889401479,0.11772215411131,1.78905750690564
2020-05-21,5,NA,NA,NA,NA
2020-05-22,10,1.07142857142857,0.437408882639853,0.214122914936552,1.92873422792059
2020-05-23,6,1.12734864300626,0.460238156264063,0.225298432417583,2.02939885359494
2020-05-24,2,NA,NA,NA,NA
2020-05-25,4,NA,NA,NA,NA
2020-05-26,8,NA,NA,NA,NA
2020-05-27,5,NA,NA,NA,NA
2020-05-28,0,NA,NA,NA,NA
2020-05-29,6,NA,NA,NA,NA
2020-05-30,6,NA,NA,NA,NA
2020-05-31,5,NA,NA,NA,NA
2020-06-01,2,NA,NA,NA,NA
2020-06-02,2,NA,NA,NA,NA
2020-06-03,1,NA,NA,NA,NA
2020-06-04,0,NA,NA,NA,NA
2020-06-05,4,NA,NA,NA,NA
2020-06-06,1,NA,NA,NA,NA
2020-06-07,2,NA,NA,NA,NA
2020-06-08,1,NA,NA,NA,NA
2020-06-09,6,NA,NA,NA,NA
2020-06-10,0,NA,NA,NA,NA
2020-06-11,6,NA,NA,NA,NA
2020-06-12,3,NA,NA,NA,NA
2020-06-13,1,NA,NA,NA,NA
2020-06-14,2,NA,NA,NA,NA
