"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,0,NA,NA,NA,NA
2020-03-14,0,NA,NA,NA,NA
2020-03-15,0,NA,NA,NA,NA
2020-03-16,0,NA,NA,NA,NA
2020-03-17,0,NA,NA,NA,NA
2020-03-18,2,NA,NA,NA,NA
2020-03-19,0,NA,NA,NA,NA
2020-03-20,0,NA,NA,NA,NA
2020-03-21,0,NA,NA,NA,NA
2020-03-22,1,NA,NA,NA,NA
2020-03-23,0,NA,NA,NA,NA
2020-03-24,0,NA,NA,NA,NA
2020-03-25,9,NA,NA,NA,NA
2020-03-26,4,NA,NA,NA,NA
2020-03-27,6,NA,NA,NA,NA
2020-03-28,6,NA,NA,NA,NA
2020-03-29,1,NA,NA,NA,NA
2020-03-30,6,NA,NA,NA,NA
2020-03-31,0,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA
2020-04-02,3,NA,NA,NA,NA
2020-04-03,0,NA,NA,NA,NA
2020-04-04,0,NA,NA,NA,NA
2020-04-05,0,NA,NA,NA,NA
2020-04-06,0,NA,NA,NA,NA
2020-04-07,0,NA,NA,NA,NA
2020-04-08,0,NA,NA,NA,NA
2020-04-09,0,NA,NA,NA,NA
2020-04-10,1,NA,NA,NA,NA
2020-04-11,0,NA,NA,NA,NA
2020-04-12,3,NA,NA,NA,NA
2020-04-13,2,NA,NA,NA,NA
2020-04-14,0,NA,NA,NA,NA
2020-04-15,3,NA,NA,NA,NA
2020-04-16,0,NA,NA,NA,NA
2020-04-17,4,NA,NA,NA,NA
2020-04-18,5,NA,NA,NA,NA
2020-04-19,4,NA,NA,NA,NA
2020-04-20,4,NA,NA,NA,NA
2020-04-21,5,NA,NA,NA,NA
2020-04-22,4,NA,NA,NA,NA
2020-04-23,2,NA,NA,NA,NA
2020-04-24,8,NA,NA,NA,NA
2020-04-25,0,NA,NA,NA,NA
2020-04-26,4,NA,NA,NA,NA
2020-04-27,0,NA,NA,NA,NA
2020-04-28,7,NA,NA,NA,NA
2020-04-29,2,1.32352941176471,0.467938311079333,0.406387175062713,2.2406716484667
2020-04-30,9,1.09947643979058,0.415563033151506,0.284987861507399,1.91396501807375
2020-05-01,3,2.03225806451613,0.543143814209121,0.967715750240539,3.09680037879172
2020-05-02,10,12.6029654036244,1.36698352744046,9.92372692238156,15.2822038848672
2020-05-03,5,2.03007518796993,0.524163159637094,1.0027342730585,3.05741610288135
2020-05-04,13,NA,NA,NA,NA
2020-05-05,1,10.1097482246611,0.766418035019085,8.60759647892171,11.6118999704004
2020-05-06,8,0.232198142414861,0.103842166137761,0.0286712367082242,0.435725048121497
2020-05-07,7,6.73139158576052,0.466738029186277,5.81660185834021,7.64618131318082
2020-05-08,14,NA,NA,NA,NA
2020-05-09,85,0.437998832003115,0.0875997664006229,0.266306444803772,0.609691219202457
2020-05-10,15,1.14531384350817,0.133140029928433,0.884364179947855,1.40626350706848
2020-05-11,0,0.108810639262506,0.0384703704438805,0.0334100987205858,0.184211179804426
2020-05-12,174,0.158450704225352,0.0477746848802795,0.0648140424872542,0.25208736596345
2020-05-13,5,0.908173562058527,0.117244702710618,0.67837816736761,1.13796895674944
2020-05-14,208,0.587896253602305,0.100823375703377,0.390286068423936,0.785506438780675
2020-05-15,0,1.09484118044605,0.148989013415512,0.802828080059488,1.3868542808326
2020-05-16,25,NA,NA,NA,NA
2020-05-17,74,NA,NA,NA,NA
2020-05-18,8,NA,NA,NA,NA
2020-05-19,11,NA,NA,NA,NA
2020-05-20,60,5.11830635118306,0.437286422567358,4.26124071202268,5.97537199034345
2020-05-21,34,NA,NA,NA,NA
2020-05-22,54,NA,NA,NA,NA
2020-05-23,0,NA,NA,NA,NA
2020-05-24,0,NA,NA,NA,NA
2020-05-25,0,1.29905277401894,0.229642256406998,0.848962222132716,1.74914332590517
2020-05-26,0,NA,NA,NA,NA
2020-05-27,137,NA,NA,NA,NA
2020-05-28,0,NA,NA,NA,NA
2020-05-29,0,NA,NA,NA,NA
2020-05-30,0,NA,NA,NA,NA
2020-05-31,0,NA,NA,NA,NA
2020-06-01,32,NA,NA,NA,NA
2020-06-02,0,NA,NA,NA,NA
2020-06-03,0,NA,NA,NA,NA
2020-06-04,0,NA,NA,NA,NA
2020-06-05,0,6.54054054054054,0.594594594594595,5.37515654973294,7.70592453134814
2020-06-06,0,1.94594594594595,0.324324324324324,1.31028195095998,2.58160994093191
2020-06-07,0,NA,NA,NA,NA
2020-06-08,111,0.793534166054372,0.161979483358182,0.47606021243793,1.11100811967081
2020-06-09,0,0.651148159798679,0.135773777004764,0.385036446824369,0.917259872772989
2020-06-10,0,0.199936528086322,0.0755689044734412,0.0518241969672293,0.348048859205414
2020-06-11,0,NA,NA,NA,NA
2020-06-12,121,0.478723404255319,0.12794421155382,0.227957357579458,0.72948945093118
2020-06-13,36,NA,NA,NA,NA
