"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,4,NA,NA,NA,NA
2020-03-14,2,NA,NA,NA,NA
2020-03-15,3,1.23499142367067,0.436635405192379,0.379201755118552,2.09078109222279
2020-03-16,1,NA,NA,NA,NA
2020-03-17,23,1.4308426073132,0.45247216123236,0.544013467290771,2.31767174733562
2020-03-18,2,1.3477537437604,0.449251247920133,0.467237477827264,2.22827000969354
2020-03-19,9,4.63917525773196,0.846993645626545,2.97909821716965,6.29925229829427
2020-03-20,5,6.24555160142349,1.00008864743035,4.28541387111263,8.20568933173434
2020-03-21,4,10.353982300885,1.17235763712317,8.05620355512307,12.6517610466468
2020-03-22,8,5.1219512195122,0.684449521970843,3.78045480721369,6.4634476318107
2020-03-23,1,0.989010989010989,0.233112125665895,0.53211961834626,1.44590235967572
2020-03-24,10,1.52542372881356,0.238231162202958,1.05849923090064,1.99234822672648
2020-03-25,9,1.08011676938047,0.177570103057684,0.732085762656347,1.4281477761046
2020-03-26,30,1.42078071182549,0.191578032100634,1.04529466867919,1.79626675497179
2020-03-27,39,0.705977819853935,0.131096790003274,0.449032832958707,0.962922806749164
2020-03-28,78,1.56055900621118,0.190652626674048,1.18688672437209,1.93423128805027
2020-03-29,56,1.24445603965562,0.170939183416448,0.909421396612697,1.57949068269855
2020-03-30,18,1.78853503184713,0.202511714132358,1.39161936570024,2.18545069799403
2020-03-31,41,0.792652239557121,0.133982682556358,0.530051007194597,1.05525347191965
2020-04-01,37,0.631726719700515,0.115336991519572,0.405670370236953,0.857783069164077
2020-04-02,55,1.08409547178229,0.147526707684911,0.794948437962094,1.37324250560248
2020-04-03,29,0.598969514813224,0.10757810061286,0.388120312086793,0.809818717539656
2020-04-04,67,1.04467805519054,0.143497566805792,0.763427992382056,1.32592811799902
2020-04-05,53,1.75192394748755,0.188914817699098,1.38165770865137,2.12219018632373
2020-04-06,78,2.95635851712811,0.249857897925371,2.4666460359415,3.44607099831472
2020-04-07,35,2.93342579750347,0.247039017067363,2.44923822127526,3.41761337373167
2020-04-08,30,1.14963503649635,0.144840400240762,0.86575306851809,1.43351700447461
2020-04-09,54,1.60046534818016,0.154722825153893,1.29721418329224,1.90371651306807
2020-04-10,31,1.83751595065929,0.153126329221608,1.53739386030012,2.13763804101847
2020-04-11,53,0.776347043380423,0.0934612011079669,0.593166455256953,0.959527631503893
2020-04-12,86,0.623367775633019,0.0798140650427613,0.46693508268947,0.779800468576569
2020-04-13,140,1.70048309178744,0.128178735859146,1.44925738591964,1.95170879765524
2020-04-14,141,1.37912558936991,0.115328275490691,1.15308632300904,1.60516485573078
2020-04-15,63,1.33857431212153,0.113130177515981,1.11684323862559,1.56030538561748
2020-04-16,107,1.42857142857143,0.11511756628934,1.20294514465642,1.65419771248644
2020-04-17,144,1.70094007050529,0.12243634538293,1.46096924315604,1.94091089785454
2020-04-18,69,0.989376443418014,0.090695989867641,0.811615569735228,1.1671373171008
2020-04-19,61,0.875251509054326,0.081265062481909,0.715974913388387,1.03452810472026
2020-04-20,176,0.843727655517598,0.0776714264088361,0.691494457128426,0.995960853906769
2020-04-21,143,1.33456904541242,0.0963142247026252,1.14579663379638,1.52334145702846
2020-04-22,140,0.771666924146455,0.0732433831111345,0.628112531142762,0.915221317150147
2020-04-23,154,1.82013176037996,0.112021366082003,1.60057391736026,2.03968960339966
2020-04-24,193,1.3774429008712,0.0986407349453893,1.18411061296968,1.57077518877273
2020-04-25,119,1.75557056043214,0.108875864257914,1.54217778770096,1.96896333316332
2020-04-26,116,0.404624277456647,0.0509778672652137,0.304709493608165,0.50453906130513
2020-04-27,118,0.748645860201187,0.0659145926131061,0.619455632623869,0.877836087778504
2020-04-28,192,0.883908335431881,0.0707693049428174,0.745203046533027,1.02261362433074
2020-04-29,111,1.20734421364985,0.0819598657046897,1.04670582869092,1.36798259860878
2020-04-30,264,0.905047379617095,0.0724617830021087,0.763024894677406,1.04706986455678
2020-05-01,195,1.49775726451277,0.0936098290320484,1.31428537101101,1.68122915801454
2020-05-02,260,0.848148643229515,0.0714270009245698,0.708154293893649,0.988142992565381
2020-05-03,63,0.67085817993259,0.0625578478434486,0.548247051209094,0.793469308656086
2020-05-04,129,0.68111254851229,0.0629688773852055,0.557695816690368,0.804529280334211
2020-05-05,156,0.415091922362437,0.0489190521863732,0.31921234191931,0.510971502805563
2020-05-06,217,0.827944803679755,0.0704793421240161,0.689807831462607,0.966081775896903
2020-05-07,156,0.965315503552027,0.0777873400291947,0.812855118641634,1.11777588846242
2020-05-08,256,0.801448947249264,0.0737793558379005,0.656844067004414,0.946053827494114
2020-05-09,141,1.17871959651834,0.0928961180054061,0.996646550924165,1.36079264211252
2020-05-10,115,2.36396303901437,0.134918496929686,2.09952764418391,2.62839843384484
2020-05-11,117,4.64950426161071,0.190771470625475,4.27559904990704,5.02340947331439
