"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,2,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,2,NA,NA,NA,NA
2020-03-08,3,NA,NA,NA,NA
2020-03-09,2,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,4,NA,NA,NA,NA
2020-03-12,0,2.98672566371681,0.771169250351034,1.47526170704403,4.49818962038959
2020-03-13,6,1.97802197802198,0.571005760736993,0.858871252012578,3.09717270403138
2020-03-14,11,2.48085758039816,0.584743739419197,1.33478091095126,3.62693424984506
2020-03-15,2,3.3201581027668,0.627450903809784,2.09037692923252,4.54993927630108
2020-03-16,7,3.57615894039735,0.596026490066225,2.40796848603573,4.74434939475897
2020-03-17,11,1.65898617511521,0.370960586128997,0.931916786618504,2.38605556361191
2020-03-18,8,2.54716981132075,0.407873599314845,1.74775224641894,3.34658737622257
2020-03-19,15,1.88735769922109,0.319021677938266,1.26208670017455,2.51262869826763
2020-03-20,12,1.76826196473552,0.283148523856854,1.2133010557004,2.32322287377063
2020-03-21,18,1.71011931064958,0.26079074997224,1.1989788332028,2.22125978809636
2020-03-22,28,2.26305609284333,0.280697561836313,1.71289898109595,2.81321320459071
2020-03-23,36,1.23461132606402,0.197696032309481,0.847134222850967,1.62208842927707
2020-03-24,20,1.25154511742892,0.186569330631935,0.885875948770586,1.61721428608726
2020-03-25,39,0.837091319052988,0.145718894641607,0.551487533688451,1.12269510441752
2020-03-26,35,1.413982717989,0.182544383953217,1.05620229986065,1.77176313611736
2020-03-27,39,0.877598152424942,0.142365219468106,0.598567449616315,1.15662885523357
2020-03-28,43,1.21951219512195,0.164438990844693,0.897217695412241,1.54180669483166
2020-03-29,65,1.22192051345347,0.164763728422269,0.898989539787284,1.54485148711965
2020-03-30,39,0.238381892607753,0.0718748449631558,0.097509785085568,0.379254000129939
2020-03-31,45,1.56428571428571,0.183085794542519,1.20544415090148,1.92312727766995
2020-04-01,33,1.69975786924939,0.192459679895764,1.32254382817759,2.0769719103212
2020-04-02,60,1.86630885581849,0.202429617261859,1.46955409658102,2.26306361505596
2020-04-03,38,4.43245778611632,0.305868646143773,3.8329662556745,5.03194931655814
2020-04-04,55,2.2732056409177,0.207514334563102,1.86648501889823,2.67992626293718
2020-04-05,55,1.52723570337689,0.152723570337689,1.22790300592465,1.82656840082913
2020-04-06,11,0.590890439064424,0.0852876885138553,0.423729641252597,0.75805123687625
2020-04-07,73,0.554478037649743,0.0754549036567551,0.406589144025564,0.702366931273923
2020-04-08,78,0.649154914414899,0.0793068951952331,0.49371625610655,0.804593572723249
2020-04-09,85,0.699457042478442,0.0818652546660894,0.539004091747707,0.859909993209176
2020-04-10,210,1.12664937408368,0.106936826182107,0.917057046145731,1.33624170202163
2020-04-11,120,0.785108735716919,0.0931752647236604,0.602488572608559,0.967728898825278
2020-04-12,100,0.96913985554826,0.107023593228151,0.75937746732502,1.1789022437715
2020-04-13,48,0.849881960838772,0.103063326289568,0.647881553184319,1.05188236849323
2020-04-14,54,1.48158844765343,0.138763471867555,1.20961704042328,1.75355985488357
2020-04-15,67,0.917965904123561,0.109717911100199,0.702922749908203,1.13300905833892
2020-04-16,73,1.45871175073355,0.135437985927653,1.19325817617671,1.72416532529039
2020-04-17,111,1.94482196248981,0.154234414129201,1.64252806561994,2.24711585935968
2020-04-18,71,NA,NA,NA,NA
2020-04-19,82,0.622346233167536,0.0824317723127948,0.460782928252652,0.78390953808242
2020-04-20,68,0.888968225633702,0.0975769394410314,0.697720938607635,1.08021551265977
2020-04-21,114,0.729281767955801,0.0897683801617233,0.553338975888324,0.905224560023279
2020-04-22,70,0.920052424639581,0.104175423062845,0.715872347362182,1.12423250191698
2020-04-23,116,0.590971272229822,0.0852993557763059,0.423787607003794,0.75815493745585
2020-04-24,159,1.15384615384615,0.123000413282083,0.912769773729729,1.39492253396258
2020-04-25,0,1.10283852954863,0.124079028627021,0.859648102202952,1.3460289568943
2020-04-26,57,0.798605609253684,0.106718163463684,0.589441852368605,1.00776936613876
2020-04-27,83,0.542256961406937,0.0891464953145807,0.36753304124239,0.716980881571484
2020-04-28,66,0.438240545366012,0.0800114107701103,0.281421061904356,0.595060028827668
2020-04-29,78,0.671097422596855,0.09894791675819,0.477163069405536,0.865031775788175
2020-04-30,48,0.606427090532136,0.0971060504243013,0.416102729019575,0.796751452044696
2020-05-01,88,0.478723404255319,0.0904702196032725,0.301405032159476,0.656041776351163
2020-05-02,79,0.661486770264595,0.111811671667149,0.442339920745764,0.880633619783425
2020-05-03,56,1.05140186915888,0.148690678286891,0.759973494879741,1.34283024343802
2020-05-04,37,0.488877392653906,0.106681793209008,0.2797849201581,0.697969865149712
2020-05-05,30,0.732940185341196,0.136103575580484,0.466182079036321,0.999698291646071
2020-05-06,46,0.752913056468479,0.142287193304938,0.474035282129513,1.03179083080745
2020-05-07,39,1.08904747130003,0.174387160985373,0.747254916402513,1.43084002619755
2020-05-08,28,1.08363163032867,0.178147942638087,0.734468078838112,1.43279518181923
2020-05-09,35,1.66942696257039,0.223086561649324,1.23218533630284,2.10666858883794
