"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,0,NA,NA,NA,NA
2020-03-14,0,NA,NA,NA,NA
2020-03-15,0,NA,NA,NA,NA
2020-03-16,0,NA,NA,NA,NA
2020-03-17,0,NA,NA,NA,NA
2020-03-18,0,NA,NA,NA,NA
2020-03-19,0,NA,NA,NA,NA
2020-03-20,0,NA,NA,NA,NA
2020-03-21,1,NA,NA,NA,NA
2020-03-22,0,NA,NA,NA,NA
2020-03-23,8,NA,NA,NA,NA
2020-03-24,0,NA,NA,NA,NA
2020-03-25,5,NA,NA,NA,NA
2020-03-26,0,NA,NA,NA,NA
2020-03-27,9,NA,NA,NA,NA
2020-03-28,7,NA,NA,NA,NA
2020-03-29,3,NA,NA,NA,NA
2020-03-30,0,NA,NA,NA,NA
2020-03-31,11,NA,NA,NA,NA
2020-04-01,0,NA,NA,NA,NA
2020-04-02,1,NA,NA,NA,NA
2020-04-03,3,NA,NA,NA,NA
2020-04-04,0,NA,NA,NA,NA
2020-04-05,4,NA,NA,NA,NA
2020-04-06,0,NA,NA,NA,NA
2020-04-07,0,NA,NA,NA,NA
2020-04-08,1,NA,NA,NA,NA
2020-04-09,0,NA,NA,NA,NA
2020-04-10,0,NA,NA,NA,NA
2020-04-11,0,NA,NA,NA,NA
2020-04-12,1,NA,NA,NA,NA
2020-04-13,0,NA,NA,NA,NA
2020-04-14,1,NA,NA,NA,NA
2020-04-15,0,NA,NA,NA,NA
2020-04-16,0,NA,NA,NA,NA
2020-04-17,1,NA,NA,NA,NA
2020-04-18,-1,NA,NA,NA,NA
2020-04-19,0,NA,NA,NA,NA
2020-04-20,1,NA,NA,NA,NA
2020-04-21,5,NA,NA,NA,NA
2020-04-22,2,NA,NA,NA,NA
2020-04-23,11,NA,NA,NA,NA
2020-04-24,1,NA,NA,NA,NA
2020-04-25,0,NA,NA,NA,NA
2020-04-26,4,NA,NA,NA,NA
2020-04-27,0,NA,NA,NA,NA
2020-04-28,0,NA,NA,NA,NA
2020-04-29,2,NA,NA,NA,NA
2020-04-30,2,NA,NA,NA,NA
2020-05-01,2,NA,NA,NA,NA
2020-05-02,3,NA,NA,NA,NA
2020-05-03,1,NA,NA,NA,NA
2020-05-04,8,NA,NA,NA,NA
2020-05-05,1,NA,NA,NA,NA
2020-05-06,2,NA,NA,NA,NA
2020-05-07,1,NA,NA,NA,NA
2020-05-08,0,8.52422907488987,1.29993274710833,5.97640770823334,11.0720504415464
2020-05-09,15,3.64864864864865,0.744777286657048,2.18891199029737,5.10838530699993
2020-05-10,5,NA,NA,NA,NA
2020-05-11,0,1.48818897637795,0.324749458697658,0.851691733331665,2.12468621942424
2020-05-12,8,0.710059171597633,0.204976426931228,0.30831275713272,1.11180558606255
2020-05-13,10,NA,NA,NA,NA
2020-05-14,21,NA,NA,NA,NA
2020-05-15,43,0.841645885286783,0.217312033141314,0.415722126922633,1.26756964365093
2020-05-16,24,2.4468085106383,0.510194842905608,1.44684499344523,3.44677202783136
2020-05-17,0,NA,NA,NA,NA
2020-05-18,21,NA,NA,NA,NA
2020-05-19,12,NA,NA,NA,NA
2020-05-20,4,NA,NA,NA,NA
2020-05-21,-104,NA,NA,NA,NA
2020-05-22,15,2.35294117647059,0.679235610811324,1.02166384226333,3.68421851067785
2020-05-23,23,6.97416974169742,0.760944303590453,5.48274631241922,8.46559317097562
2020-05-24,0,NA,NA,NA,NA
2020-05-25,24,1.47783251231527,0.233665836958255,1.01985588745968,1.93580913717086
2020-05-26,31,1.08392924350772,0.191613429602678,0.708373822532267,1.45948466448316
2020-05-27,28,0.54380664652568,0.128176455804208,0.292585409483442,0.795027883567917
2020-05-28,36,0.449700199866756,0.116112092324673,0.222124680740807,0.677275718992704
2020-05-29,12,1.02974828375286,0.174059228662624,0.688598464397296,1.37089810310842
2020-05-30,84,1.15261472785486,0.192102454642476,0.776100835413864,1.52912862029585
2020-05-31,4,0.778488153441143,0.162326001165154,0.460335037403035,1.09664126947925
2020-06-01,40,1.05427567356501,0.192483522746837,0.677014901363817,1.43153644576621
2020-06-02,32,0.393638170974155,0.118686374207549,0.161017152071715,0.626259189876595
2020-06-03,18,0.296784830997527,0.104929283275827,0.0911272148533043,0.502442447141749
2020-06-04,15,0.52087639520463,0.139210072265256,0.24802966727951,0.79372312312975
2020-06-05,35,0.280748663101604,0.106113020497243,0.0727709646362476,0.488726361566961
2020-06-06,36,0.359820089955022,0.127215612807175,0.110482070581767,0.609158109328278
2020-06-07,23,NA,NA,NA,NA
2020-06-08,30,0.542531815137307,0.180843938379102,0.188084209091886,0.896979421182729
2020-06-09,11,1.45780051150895,0.334442374184706,0.802305503202859,2.11329551981504
2020-06-10,8,0.76271186440678,0.269659365706734,0.234189219527665,1.29123450928589
2020-06-11,14,0.9688995215311,0.322966507177033,0.335896799251418,1.60190224381078
