"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,1,NA,NA,NA,NA
2020-03-14,0,NA,NA,NA,NA
2020-03-15,0,NA,NA,NA,NA
2020-03-16,4,NA,NA,NA,NA
2020-03-17,0,NA,NA,NA,NA
2020-03-18,1,NA,NA,NA,NA
2020-03-19,0,NA,NA,NA,NA
2020-03-20,3,NA,NA,NA,NA
2020-03-21,0,NA,NA,NA,NA
2020-03-22,2,NA,NA,NA,NA
2020-03-23,0,NA,NA,NA,NA
2020-03-24,1,NA,NA,NA,NA
2020-03-25,0,NA,NA,NA,NA
2020-03-26,0,NA,NA,NA,NA
2020-03-27,4,NA,NA,NA,NA
2020-03-28,0,NA,NA,NA,NA
2020-03-29,5,NA,NA,NA,NA
2020-03-30,2,NA,NA,NA,NA
2020-03-31,3,NA,NA,NA,NA
2020-04-01,3,NA,NA,NA,NA
2020-04-02,0,NA,NA,NA,NA
2020-04-03,6,NA,NA,NA,NA
2020-04-04,3,NA,NA,NA,NA
2020-04-05,5,NA,NA,NA,NA
2020-04-06,1,NA,NA,NA,NA
2020-04-07,8,NA,NA,NA,NA
2020-04-08,3,NA,NA,NA,NA
2020-04-09,1,NA,NA,NA,NA
2020-04-10,9,NA,NA,NA,NA
2020-04-11,4,NA,NA,NA,NA
2020-04-12,2,NA,NA,NA,NA
2020-04-13,3,NA,NA,NA,NA
2020-04-14,8,NA,NA,NA,NA
2020-04-15,3,NA,NA,NA,NA
2020-04-16,7,NA,NA,NA,NA
2020-04-17,4,NA,NA,NA,NA
2020-04-18,9,NA,NA,NA,NA
2020-04-19,3,NA,NA,NA,NA
2020-04-20,3,NA,NA,NA,NA
2020-04-21,3,NA,NA,NA,NA
2020-04-22,2,NA,NA,NA,NA
2020-04-23,0,NA,NA,NA,NA
2020-04-24,1,NA,NA,NA,NA
2020-04-25,5,NA,NA,NA,NA
2020-04-26,1,NA,NA,NA,NA
2020-04-27,1,NA,NA,NA,NA
2020-04-28,2,NA,NA,NA,NA
2020-04-29,4,NA,NA,NA,NA
2020-04-30,1,NA,NA,NA,NA
2020-05-01,2,NA,NA,NA,NA
2020-05-02,0,2.71186440677966,0.677966101694915,1.38307526471861,4.04065354884071
2020-05-03,2,3.48464619492657,0.647082553594266,2.2163876948576,4.75290469499554
2020-05-04,5,1.03232533889468,0.311257800971831,0.422271259082757,1.64237941870661
2020-05-05,5,0.855661192739845,0.257991556726003,0.350007033241456,1.36131535223823
2020-05-06,17,NA,NA,NA,NA
2020-05-07,29,0.566037735849057,0.188679245283019,0.196233210464141,0.935842261233973
2020-05-08,3,0.982532751091703,0.253688865472102,0.485311711487557,1.47975379069585
2020-05-09,16,1.34222919937206,0.307928496796437,0.738700435837483,1.94575796290663
2020-05-10,29,0.882352941176471,0.266039421686262,0.360925256203533,1.40378062614941
2020-05-11,11,2.93569431500466,0.496222908181701,1.9631152866648,3.90827334334452
2020-05-12,11,1.07536764705882,0.298253322418896,0.490801876848375,1.65993341726927
2020-05-13,2,1.7910447761194,0.365595483997489,1.07449079457383,2.50759875766497
2020-05-14,9,0.684410646387833,0.216429649745364,0.2602163277003,1.10860496507537
2020-05-15,15,1.99869366427172,0.342773135555896,1.3268706637143,2.67051666482914
2020-05-16,19,3.43554443053817,0.439876389756945,2.57340254896506,4.29768631211129
2020-05-17,11,4.47457627118644,0.476991433202383,3.53969024117563,5.40946230119725
2020-05-18,35,3.2396449704142,0.379171763845453,2.49648196932259,3.98280797150582
2020-05-19,13,1.55405405405405,0.229132769700178,1.10496207776379,2.00314603034431
2020-05-20,24,0.778546712802768,0.142142532224524,0.499952468971377,1.05714095663416
2020-05-21,10,2.13068181818182,0.213068181818182,1.71307585556675,2.54828778079689
2020-05-22,34,2.66825362475655,0.227964291704126,2.22145182325528,3.11505542625782
2020-05-23,61,1.68472906403941,0.172849554883312,1.34595016172434,2.02350796635448
2020-05-24,88,1.70342073276611,0.163158115263405,1.3836367030644,2.02320476246781
2020-05-25,73,1.1554145899411,0.125322307983138,0.909787379834709,1.40104180004748
2020-05-26,46,1.05525606469003,0.113135325441778,0.833514901444924,1.27699722793513
2020-05-27,30,1.60331200602183,0.134546954698679,1.33960482058288,1.86701919146078
2020-05-28,100,1.61386730424387,0.131771713598617,1.35559949140946,1.87213511707829
2020-05-29,137,1.73293836162698,0.133302950894383,1.47166937884108,1.99420734441288
2020-05-30,95,1.22883149872989,0.108192580677821,1.01677793720692,1.44088506025286
2020-05-31,109,0.748549323017408,0.0807181493805235,0.590344657332858,0.906753988701958
2020-06-01,85,1.11252499545537,0.0953982313281362,0.925547897863404,1.29950209304734
2020-06-02,87,1.42317490995344,0.106077194750934,1.21526742866057,1.63108239124631
2020-06-03,142,1.32078729281768,0.101299761130566,1.12224340935926,1.5193311762761
2020-06-04,150,1.24294736842105,0.0970578831779295,1.05271741297661,1.43317732386549
